module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
installation-structure,anytime,Clean Installation,CI,,"installation_structure_clean_installation",false,alex,Create Mode,"Install agentfile with .agentfile/ directory structure for zero-clutter project organization",,,
installation-structure,anytime,Migration Analysis,MA,,"installation_structure_migration_analysis",false,sam,Analyze Mode,"Analyze existing v0.1.0 installations for migration readiness and create migration plan",,,
installation-structure,anytime,Project Template Creation,PT,,"installation_structure_project_template",false,alex,Template Mode,"Create reusable project templates with agentfile integration",,,
installation-structure,anytime,Safe Migration,SM,,"installation_structure_safe_migration",false,sam,Migrate Mode,"Execute migration from v0.1.0 to new structure with safety checks",,,
installation-structure,anytime,Configuration Management,CM,,"installation_structure_config_mgmt",false,alex,Config Mode,"Set and manage installation structure preferences and settings",,,
installation-structure,anytime,Rollback System,RS,,"installation_structure_rollback",false,sam,Rollback Mode,"Restore project state if migration fails or issues arise",,,
installation-structure,anytime,Structure Validation,VS,,"installation_structure_validate",false,both,Validate Mode,"Verify agentfile installation follows best practices and standards",,,
installation-structure,anytime,Migration Report,MR,,"installation_structure_migration_report",false,sam,Report Mode,"Generate detailed migration documentation and reports",,,
installation-structure,anytime,Chat with Alex,ALEX,,"installation_structure_alex_chat",false,alex,Chat Mode,"Talk to Alex about setup, templates, and clean installations",,,
installation-structure,anytime,Chat with Sam,SAM,,"installation_structure_sam_chat",false,sam,Chat Mode,"Talk to Sam about migration, safety, and existing installations",,,
